"Filename" "BW" "BNL" "SE" "Bal" "mean CochDiff" "std CochDiff" "CCCor" "DCOff" "DCOff ratio" "SSPS" "RDelay" "isMono" "DH1" "DH2" "DH3" "DH4" "DH5" "DH6" "DH7" "DH8" "AVSP1" "AVSP2" "AVSP3" "AVSP4" "AVSP5" "AVSP6" 
generated/drumloop/attractor_43_drumloop.wav 2214.5264371418 -71.8384312030 6.4350233270 1.0000000000 0.0000000000 0.0000000000 1.0000000000 -0.0021097500 1.0000000000 0.0000000000 0.0000000000 0.0000000000 -27.9456569837 0.0285022646 -19.0000000000 -27.9456569837 -26.3077797272 5.8269753462 14.7157109460 -0.7481537464 0.0004882813 0.0002180307 0.0020418376 7251.2463439708 0.0477912606 43.0664062500 
generated/drumloop/attractor_44_drumloop.wav 5148.6567368822 -81.0751329963 5.1787367505 1.0000000000 0.0000000000 0.0000000000 1.0000000000 -0.0019201204 1.0000000000 0.0000000000 0.0000000000 0.0000000000 -29.8825964424 0.0307079491 -25.0000000000 -29.8825964424 -28.6655448491 5.7706998837 13.9136041115 -0.7778508909 0.0004882813 0.0000700342 0.0041732347 1533.7881626827 0.0971750036 183.0322265625 
generated/drumloop/attractor_45_drumloop.wav 2370.5595703125 -102.1539993252 5.9113298378 1.0000000000 0.0000000000 0.0000000000 1.0000000000 -0.0036628650 1.0000000000 0.0000000000 0.0000000000 0.0000000000 -24.5788742092 0.0402392923 -18.0000000000 -24.5788742092 -22.6657143390 5.5029262318 12.3398355927 -1.2537132435 0.0004882812 0.0001931858 0.0024406390 6073.4992286149 0.0535528431 43.0664062500 
generated/drumloop/attractor_46_drumloop.wav 5268.2519531250 -102.6683259092 5.7692902491 1.0000000000 0.0000000000 0.0000000000 1.0000000000 -0.0015955601 1.0000000000 0.0000000000 0.0000000000 0.0000000000 -31.3390982328 0.0400922557 -26.0000000000 -31.3390982328 -30.1665860371 5.4743518956 11.6267490652 -1.0820438670 0.0004882812 0.0002140934 0.0024265045 5103.0198476247 0.0557343666 183.0322265625 
generated/drumloop/attractor_47_drumloop.wav 7954.5750134312 -91.6038066736 5.5172947495 1.0000000000 0.0000000000 0.0000000000 1.0000000000 -0.0004000328 1.0000000000 0.0000000000 0.0000000000 0.0000000000 -35.7682141625 0.0364771521 -29.0000000000 -35.7682141625 -33.9584819212 5.6139672218 12.8692657215 -0.9512460232 0.0004882812 0.0001152697 0.0030407383 2451.0629038954 0.0733550060 183.0322265625 
generated/drumloop/attractor_48_drumloop.wav 1930.1748046875 -108.3024568119 6.2931595147 1.0000000000 0.0000000000 0.0000000000 1.0000000000 -0.0032565256 1.0000000000 0.0000000000 0.0000000000 0.0000000000 -25.4466657565 0.0265712261 -22.0000000000 -25.4466657565 -24.2855183251 5.8701828222 15.2168789423 -0.6731195629 0.0004882813 0.0001802139 0.0034357108 5676.5743859095 0.1095405065 43.0664062500 
generated/drumloop/attractor_49_drumloop.wav 4739.5875772296 -67.7250891947 5.7646735304 1.0000000000 0.0000000000 0.0000000000 1.0000000000 -0.0010246499 1.0000000000 0.0000000000 0.0000000000 0.0000000000 -33.7879635836 0.0339500348 -31.0000000000 -33.7879635836 -33.2362006374 5.6813982730 12.7596958851 -0.5834451083 0.0004882813 0.0001570494 0.0034455554 3481.1168226888 0.0805400404 183.0322265625 
generated/drumloop/attractor_50_drumloop.wav 7327.8909327991 -98.3361794230 5.2015108253 1.0000000000 0.0000000000 0.0000000000 1.0000000000 -0.0007815617 1.0000000000 0.0000000000 0.0000000000 0.0000000000 -35.9033699667 0.0316736481 -30.0000000000 -35.9033699667 -34.8637261248 5.8309252728 14.2372265247 -0.6027339390 0.0004882812 0.0000908343 0.0041213466 1868.0823311547 0.0943191444 183.0322265625 
generated/drumloop/attractor_51_drumloop.wav 2219.6425781250 -102.0965035113 5.9544773706 1.0000000000 0.0000000000 0.0000000000 1.0000000000 -0.0039621230 1.0000000000 0.0000000000 0.0000000000 0.0000000000 -25.1389547690 0.0386487242 -19.0000000000 -25.1389547690 -23.2392882141 5.5614936411 12.6345086021 -1.0929231233 0.0004882813 0.0001803250 0.0028221980 5621.8643262295 0.0767244389 43.0664062500 
generated/drumloop/attractor_52_drumloop.wav 6744.3349581393 -89.4406951060 4.8911257357 1.0000000000 0.0000000000 0.0000000000 1.0000000000 -0.0013744795 1.0000000000 0.0000000000 0.0000000000 0.0000000000 -30.2100892834 0.0377892600 -25.0000000000 -30.2100892834 -29.0199697381 5.6024195003 12.4600013978 -0.8779999127 0.0004882813 0.0000595431 0.0042704684 1289.8678191885 0.0943093023 183.0322265625 
